rue Pierre Mouillard;20
rue des Mûriers;20
rue du Général Niessel;20
rue des Ormeaux;20
rue des Panoyaux;20
rue Alphonse Penaud;20
villa Perreur;20
impasse Philidor;20
rue Philidor;20
place Édith Piaf;20
impasse Saint-Pierre;20
rue de la Plaine;20
rue Marbeau;16
rue Mérimée;16
place de Mexico;16
villa Dietz-Monnin;16
chaussée de la Muette;16
villa Murat;16
rue de Noisiel;16
rue Lecomte Du Noüy;16
place du Trocadéro et du Onze Novembre;16
place du Maquis du Vercors;19
place du Maquis du Vercors;20
rue d'Alençon;15
rue du Sommet des Alpes;15
voie B/15;15
square Albert Bartholomé;15
rue Rosa Bonheur;15
voie BV/15;15
rue de Casablanca;15
rue des Cévennes;15
rue Emmanuel Chauvière;15
rue du Docteur Jacquemaire-Clemenceau;15
rue du Cotentin;15
avenue Delecourt;15
rue Auguste Dorchain;15
allée du Capitaine Dronne;15
place Dupleix;15
rue de l'Église;15
villa des Entrepreneurs;15
rue Fallempin;15
villa Fondary;15
rue Fondary;15
rue Frémicourt;15
voie G/15;15
rue Vasco De Gama;15
quai de Grenelle;15
rue Gutenberg;15
rue Antoine Hajje;15
rue Humblot;15
rue Lacordaire;15
rue Saint-Lambert;15
rue du Commandant Léandri;15
rue Lecourbe;15
rue Lefebvre;15
rue du Lieuvin;15
cour de Rome;8
rue de Turin;8
rue du Havre;8
rue du Havre;9
rue des Mathurins;8
rue des Mathurins;9
place Charles De Gaulle;8
place Charles De Gaulle;16
place Charles De Gaulle;17
rue de l'Aqueduc;10
place Jacques Bonsergent;10
rue Pierre Bullet;10
rue de Chabrol;10
rue Chaudron;10
rue Vicq d'Azir;10
passage Delessert;10
rue Demarquay;10
cour de la Grâce de Dieu;10
cour des Petites Écuries;10
rue d'Enghien;10
rue Fénelon;10
rue Henri Feulard;10
passage Hébrard;10
rue Francis Jammes;10
rue Jarry;10
rue Saint-Laurent;10
passage du Marché;10
rue Martel;10
rue Ambroise Paré;10
rue Alexandre Parodi;10
rue Guy Patin;10
rue Jean Poulmarch;10
place Dulcie September;10
avenue Claude Vellefaux;10
rue du Faubourg Du Temple;10
rue du Faubourg Du Temple;11
cité d'Angoulême;11
passage Saint-Antoine;11
passage de l'Asile;11
passage Philippe-Auguste;11
avenue Philippe-Auguste;11
rue Alphonse Baudin;11
rue Louis Bonnet;11
place du Père Chaillet;11
rue du Chevet;11
cour du Coq;11
rue des Trois Couronnes;11
passage Courtois;11
rue de Crussol;11
rue du Dahomey;11
impasse Delépine;11
passage Dudouy;11
voie F/11;11
passage de la Bonne Graine;11
rue Marcel Gromaire;11
rue Guénot;11
rue Robert-Houdin;11
rue Saint-Hubert;11
cour de l'Industrie;11
cité Industrielle;11
cité Joly;11
rue du Moulin Joly;11
rue Lacharrière;11
boulevard Richard Lenoir;11
passage Gustave Lepeu;11
rue Émile Lepeu;11
impasse Carrière-Mainguet;11
rue Morand;11
rue Moret;11
rue de Nemours;11
cour de l'Ours;11
cité Parchappe;11
place Pasdeloup;11
passage Piver;11
rue de l'Asile Popincourt;11
impasse Questre;11
passage Rochebrune;11
impasse Saint-Sébastien;11
impasse des Trois Soeurs;11
avenue de Taillebourg;11
passage Thiéré;11
cour Viguès;11
passage des Eaux Vives;11
